,rank,beer_name,brewery,style,alcohol_pct,n_ratings,avg_rating,substyle,general_style,province,prov_id,count
61,62,Péché Mortel Termopilas,Brasserie Dieu du Ciel!,Stout - American Imperial,9.5,27,4.19,American Imperial,Stout,Quebec,24,34
62,63,Old Cellar Dweller,Driftwood Brewery,Barleywine - American,11.6,150,4.12,American,Barleywine,British Columbia,59,25
63,64,Jelly King,Bellwoods Brewery,Wild Ale,5.6,148,4.12,,Wild Ale,Ontario,35,32
64,65,Karma Simcoe,Great Lakes Brewery,IPA - American,6.6,12,4.29,American,IPA,Ontario,35,32
65,66,Origin of Darkness - Vitamin Sea,Collective Arts Brewing,Stout - American Imperial,10.3,22,4.22,American Imperial,Stout,Ontario,35,32
66,67,Aromatherapy IPA,Beyond the Pale Brewing Company,IPA - American,6.5,78,4.13,American,IPA,Ontario,35,32
67,68,Ten Bitter Years,Black Oak Brewing Co.,IPA - Imperial,8.0,200,4.11,Imperial,IPA,Ontario,35,32
68,69,IPA #3 Tokyo Drift,Last Best Eatery & Brewpub,IPA - English,7.2,15,4.24,English,IPA,Alberta,48,6
69,70,Ransack the Universe,Collective Arts Brewing,IPA - American,6.8,680,4.1,American,IPA,Ontario,35,32
70,71,Jelly King - Raspberry,Bellwoods Brewery,Wild Ale,5.6,10,4.31,,Wild Ale,Ontario,35,32
71,72,La Fringante,Unibroue,Blonde Ale - Belgian,10.0,88,4.12,Belgian,Blonde Ale,Quebec,24,34
72,73,Catnip,Noctem Artisans Brasseurs,IPA - American,7.5,25,4.18,American,IPA,Quebec,24,34
73,74,Double Fruit Punch IPA,Vox Populi,IPA - Imperial,8.0,60,4.13,Imperial,IPA,Quebec,24,34
74,75,Herbe à Détourne,Brasserie Dieu du Ciel!,Tripel,10.2,274,4.1,,Tripel,Quebec,24,34
75,76,Space Armadillo,Twin Sails Brewing,IPA - Imperial,8.0,21,4.19,Imperial,IPA,British Columbia,59,25
76,77,Kentucky Bastard,Nickel Brook Brewing Co.,Stout - Russian Imperial,14.5,208,4.1,Russian Imperial,Stout,Ontario,35,32
